"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"321",11,"Donald Parham Jr.",LAC,"TE39","7","3 out of 5 stars","+71"
"322",11,"Demarcus Robinson",KC,"WR110","12","3 out of 5 stars","-38"
"323",11,"Atlanta Falcons",ATL,"DST28","6","5 out of 5 stars","+32"
"324",11,"Tony Jones Jr.",NO,"RB86","6","2 out of 5 stars","-29"
"325",11,"Javian Hawkins",TEN,"RB87","13","3 out of 5 stars","-57"
"326",11,"Byron Pringle",KC,"WR111","12","3 out of 5 stars","-22"
"327",11,"Ian Thomas",CAR,"TE40","13","4 out of 5 stars","-"
"328",11,"Cairo Santos",CHI,"K25","10","2 out of 5 stars","-76"
"329",11,"Olamide Zaccheaus",ATL,"WR112","6","4 out of 5 stars","-11"
"330",11,"Scotty Miller",TB,"WR113","9","2 out of 5 stars","-13"
"331",11,"Kalen Ballage",PIT,"RB88","7","5 out of 5 stars","+41"
"332",11,"Larry Rountree III",LAC,"RB89","7","4 out of 5 stars","-26"
"333",11,"Austin Seibert",CIN,"K26","10","1 out of 5 stars","-47"
"334",11,"C.J. Uzomah",CIN,"TE41","10","2 out of 5 stars","+19"
"335",11,"Will Dissly",SEA,"TE42","9","1 out of 5 stars","+33"
"336",11,"Eno Benjamin",ARI,"RB90","12","3 out of 5 stars","+8"
"337",11,"Zane Gonzalez",DET,"K27","9","5 out of 5 stars","-"
"338",11,"Jordan Howard",PHI,"RB91","14","3 out of 5 stars","-"
"339",11,"Ty'Son Williams",BAL,"RB92","8","4 out of 5 stars","-77"
"340",11,"Andy Dalton",CHI,"QB38","10","2 out of 5 stars","+63"
"341",11,"Quez Watkins",PHI,"WR114","14","3 out of 5 stars","-26"
"342",11,"Jordan Wilkins",IND,"RB93","14","4 out of 5 stars","-"
"343",11,"Stephen Gostkowski",FA,"K28","-","-","-34"
"344",11,"Andy Isabella",ARI,"WR115","12","2 out of 5 stars","-"
"345",11,"Greg Ward",PHI,"WR116","14","3 out of 5 stars","+75"
"346",11,"Jermar Jefferson",DET,"RB94","9","0 out of 5 stars","-"
"347",11,"Tyler Conklin",MIN,"TE43","7","2 out of 5 stars","-"
"348",11,"Todd Gurley II",FA,"RB95","-","-","-116"
"349",11,"Harrison Bryant",CLE,"TE44","13","2 out of 5 stars","+102"
"350",11,"Le'Veon Bell",FA,"RB96","-","-","-101"
"351",11,"Cody Parkey",CLE,"K29","13","2 out of 5 stars","-58"
"352",12,"Ito Smith",FA,"RB97","-","-","+28"
"353",12,"Jake Funk",LAR,"RB98","11","4 out of 5 stars","-52"
"354",12,"Adam Humphries",WAS,"WR117","9","3 out of 5 stars","+15"
"355",12,"David Njoku",CLE,"TE45","13","2 out of 5 stars","-35"
"356",12,"Miles Boykin",BAL,"WR118","8","2 out of 5 stars","-"
"357",12,"Duke Johnson Jr.",FA,"RB99","-","-","-"
"358",12,"Drew Sample",CIN,"TE46","10","2 out of 5 stars","+89"
"359",12,"Elijah Mitchell",SF,"RB100","6","3 out of 5 stars","-70"
"360",12,"Chris Evans",CIN,"RB101","10","3 out of 5 stars","+11"
"361",12,"Houston Texans",HOU,"DST29","10","2 out of 5 stars","+4"
"362",12,"Deonte Harris",NO,"WR119","6","4 out of 5 stars","+14"
"363",12,"Dan Bailey",FA,"K30","-","-","+3"
"364",12,"Peyton Barber",WAS,"RB102","9","3 out of 5 stars","-"
"365",12,"Nick Folk",NE,"K31","14","4 out of 5 stars","-55"
"366",12,"Evan McPherson",CIN,"K32","10","1 out of 5 stars","-111"
"367",12,"Albert Okwuegbunam",DEN,"TE47","11","4 out of 5 stars","+65"
